Surface,NbPieces,NbChambres,NbSDB,Prix,Type_Appartement,Type_Maison,DPE_A,DPE_B,DPE_C,DPE_D,DPE_E,DPE_F,DPE_Vierge,latitude,longitude
100,6,4,1,98000,0,1,0,0,0,0,0,0,1,48.648531731,2.035941043
96,6,4,2,255000,0,1,0,0,0,0,0,0,1,48.645608238,2.40818892
50,2,1,1,215000,1,0,0,0,0,0,0,0,1,48.842291099,2.50400578
72,4,2,1,197000,1,0,0,0,0,0,0,0,1,48.817396568,2.516989292
100,4,3,2,49000,1,0,0,0,0,0,0,0,1,48.892570317,2.348176598
60,3,2,1,550000,1,0,0,0,0,0,0,0,1,48.859054908,2.380025153
70,4,2,1,144000,0,1,0,0,0,0,0,0,1,48.709852705,3.393426506
20,1,1,1,83000,1,0,0,0,0,0,0,0,1,48.876129334,2.360715102
86,5,3,1,325000,0,1,0,0,0,0,0,0,1,48.975019705,2.178020378
63,4,3,1,179500,1,0,0,0,0,0,0,0,1,48.986978789,1.962958272
52,2,1,1,128000,1,0,0,0,0,0,0,0,1,48.645608238,2.40818892
120,6,4,1,356000,0,1,0,0,0,0,0,0,1,48.685086033,2.266929714
34,1,2,1,134900,1,0,0,0,0,0,0,0,1,48.76689918,2.352941911
150,5,4,2,525000,0,1,0,0,0,0,0,0,1,48.601359562,2.105439998
59,3,2,1,275000,1,0,0,0,0,0,0,0,1,48.91591925,2.287808861
44,3,2,1,164000,1,0,0,0,0,0,0,0,1,48.732228497,2.41098507
180,7,5,4,380000,0,1,0,0,0,0,0,0,1,48.637231884,2.769101712
77,4,2,1,169000,1,0,0,0,0,0,0,0,1,48.669432989,2.373359685
80,4,3,1,298000,0,1,0,0,0,0,0,0,1,48.932264849,2.399334869
64,3,2,1,382000,1,0,0,0,0,0,0,0,1,48.91591925,2.287808861
100,3,2,1,235000,0,1,0,0,0,0,0,0,1,48.953667315,1.671553521
85,4,3,1,256000,1,0,0,0,0,0,0,0,1,48.76689918,2.352941911
67,2,1,1,835000,1,0,0,0,0,0,0,0,1,48.862549876,2.336419316
220,7,5,3,499000,0,1,0,0,0,0,0,0,1,49.126847478,2.172466525
160,6,4,2,329000,0,1,0,0,0,0,0,0,1,48.524357339,2.697674267
69,4,2,1,260000,1,0,0,0,0,0,0,0,1,48.896772136,2.519551978
64,3,2,1,194000,1,0,0,0,0,0,0,0,1,48.896772136,2.519551978
65,3,2,1,345000,1,0,0,0,0,0,0,0,1,48.896168757,2.207090178
200,8,6,2,476000,0,1,0,0,0,0,0,0,1,48.898040819,2.566549678
130,5,3,1,150000,1,0,0,0,0,0,0,0,1,48.876129334,2.360715102
130,5,3,1,150000,1,0,0,0,0,0,0,0,1,48.876129334,2.360715102
73,4,2,1,225000,1,0,0,0,0,0,0,0,1,48.77621691,2.337698598
31,1,2,1,117000,1,0,0,0,0,0,0,0,1,48.653675957,2.639539278
90,5,3,1,233000,1,0,0,0,0,0,0,0,1,48.760790808,2.385495992
73,4,3,1,577000,1,0,0,0,0,0,0,0,1,48.863457789,2.401155799
46,2,1,1,165000,1,0,0,0,0,0,0,0,1,49.026361092,2.220661508
74,3,2,1,265000,1,0,0,0,0,0,0,0,1,48.798310364,2.310099988
52,3,2,1,160000,1,0,0,0,0,0,0,0,1,48.938717628,2.530589988
24,1,2,1,115000,1,0,0,0,0,0,0,0,1,48.653675957,2.639539278
318,5,2,1,900000,1,0,0,0,0,0,0,0,1,48.923469067,2.444562389
69,4,3,1,158000,1,0,0,0,0,0,0,0,1,48.955045923,2.313968877
76,4,3,1,259000,1,0,0,0,0,0,0,0,1,48.669432989,2.373359685
100,4,2,1,240000,0,1,0,0,0,0,0,0,1,48.587355138,3.138417782
106,3,2,1,75008,1,0,0,0,0,0,0,0,1,48.872724688,2.312557715
84,5,3,1,334000,1,0,0,0,0,0,0,0,1,48.896168757,2.207090178
38,2,2,1,154000,1,0,0,0,0,0,0,0,1,49.007988385,2.403736201
33,1,2,1,149000,1,0,0,0,0,0,0,0,1,49.007988385,2.403736201
120,6,5,1,345000,0,1,0,0,0,0,0,0,1,48.696591847,2.561137172
79,3,2,1,740000,1,0,0,0,0,0,0,0,1,48.847539205,2.437714989
80,4,3,1,240000,0,1,0,0,0,0,0,0,1,49.003563215,2.739419053
60,4,2,1,199000,0,1,0,0,0,0,0,0,1,49.051577748,2.094574042
40,2,1,1,660000,1,0,0,0,0,0,0,0,1,48.872724688,2.312557715
36,2,1,1,119000,1,0,0,0,0,0,0,0,1,48.912490578,2.384529976
100,100,4,1,685000,1,0,0,0,0,0,0,0,1,48.892570317,2.348176598
100,100,4,1,685000,1,0,0,0,0,0,0,0,1,48.892570317,2.348176598
137,6,4,3,337000,0,1,0,0,0,0,0,0,1,49.13001014,2.263254667
65,3,2,1,235000,1,0,0,0,0,0,0,0,1,48.845661019,2.787101817
35,35,2,1,135000,1,0,0,0,0,0,0,0,1,48.932264849,2.399334869
72,4,2,1,239000,1,0,0,0,0,0,0,0,1,48.67802178,2.223002267
76,4,3,1,189000,1,0,0,0,0,0,0,0,1,48.890767137,2.639890249
53,3,2,1,185000,1,0,0,0,0,0,0,0,1,48.788118568,2.394516098
53,3,2,1,185000,1,0,0,0,0,0,0,0,1,48.788118568,2.394516098
50,2,1,1,135000,0,1,0,0,0,0,0,0,1,48.565555122,2.920094677
40,2,2,1,280000,1,0,0,0,0,0,0,0,1,48.883640381,2.238727624
134,5,3,2,450000,0,1,0,0,0,0,0,0,1,48.87491844,2.48590027
101,5,3,2,307000,1,0,0,0,0,0,0,0,1,48.87491844,2.48590027
55,55,2,1,155000,1,0,0,0,0,0,0,0,1,48.684832308,2.676033206
101,5,4,1,405000,1,0,0,0,0,0,0,0,1,48.91591925,2.287808861
94,1,2,1,68000,1,0,0,0,0,0,0,0,1,48.938717628,2.530589988
94,1,2,1,68000,1,0,0,0,0,0,0,0,1,48.938717628,2.530589988
264,7,5,3,320000,0,1,0,0,0,0,0,0,1,48.840071988,2.292837347
45,2,1,1,170000,1,0,0,0,0,0,0,0,1,48.685086033,2.266929714
160,160,13,8,550000,0,1,0,0,0,0,0,0,1,48.884683095,2.438075777
160,160,13,8,550000,0,1,0,0,0,0,0,0,1,48.884683095,2.438075777
45,4,3,1,22878,0,1,0,0,0,0,0,0,1,48.863457789,2.401155799
405,5,1,1,70000,0,1,0,0,0,0,0,0,1,48.872724688,2.312557715
22,2,1,1,140000,1,0,0,0,0,0,0,0,1,48.821542393,2.287396637
100,5,4,1,254400,0,1,0,0,0,0,0,0,1,48.345169683,2.237202381
70,3,2,1,155150,1,0,0,0,0,0,0,0,1,48.860373457,2.261967959
70,3,2,1,155150,1,0,0,0,0,0,0,0,1,48.84912057,2.332883793
129,6,4,2,310000,0,1,0,0,0,0,0,0,1,48.661326984,2.330542445
80,5,3,1,250000,1,0,0,0,0,0,0,0,1,48.956644571,2.384861241
61,3,2,1,510000,1,0,0,0,0,0,0,0,1,48.887051437,2.384822082
61,3,2,1,510000,1,0,0,0,0,0,0,0,1,48.887051437,2.384822082
71,3,2,1,169000,1,0,0,0,0,0,0,0,1,48.993711113,2.194320017
260,7,4,2,890000,0,1,0,0,0,0,0,0,1,48.926070398,2.21192311
58,3,2,1,140000,1,0,0,0,0,0,0,0,1,48.970423332,2.404581275
35,2,1,1,320000,1,0,0,0,0,0,0,0,1,48.840071988,2.292837347
65,2,1,1,520000,1,0,0,0,0,0,0,0,1,48.834961818,2.42138541
52,3,2,1,260000,1,0,0,0,0,0,0,0,1,48.876129334,2.360715102
93,6,4,2,300000,0,1,0,0,0,0,0,0,1,48.961062049,2.363217687
34,2,1,1,165000,1,0,0,0,0,0,0,0,1,48.820377155,1.882792132
110,5,4,1,260000,0,1,0,0,0,0,0,0,1,49.088264977,1.6342024890000002
85,4,3,1,275000,0,1,0,0,0,0,0,0,1,49.041098761,1.998749157
130,6,4,2,340000,0,1,0,0,0,0,0,0,1,48.661326984,2.330542445
405,9,2,2,90000,0,1,0,0,0,0,0,0,1,48.876129334,2.360715102
67,3,2,1,190000,1,0,0,0,0,0,0,0,1,49.027507823,1.975650874
65,3,2,1,130000,1,0,0,0,0,0,0,0,1,48.938717628,2.530589988
74,4,2,1,380000,1,0,0,0,0,0,0,0,1,48.926810989,2.122439577
30,2,1,1,178000,1,0,0,0,0,0,0,0,1,48.904081231,2.305966988
30,2,1,1,97000,1,0,0,0,0,0,0,0,1,48.531838018,2.234442297
48,3,2,1,157000,1,0,0,0,0,0,0,0,1,48.970064721,2.345419123
48,3,2,1,157000,1,0,0,0,0,0,0,0,1,48.970064721,2.345419123
77,3,2,1,260000,1,0,0,0,0,0,0,0,1,48.971716801,2.326433561
90,4,2,1,290000,1,0,0,0,0,0,0,0,1,48.406515646,2.680925371
28,2,1,1,160000,1,0,0,0,0,0,0,0,1,48.796455388,2.254300971
16,1,2,1,80000,1,0,0,0,0,0,0,0,1,48.926810989,2.122439577
21,1,1,1,95000,1,0,0,0,0,0,0,0,1,48.796134091,2.421407444
140,6,5,1,315000,0,1,0,0,0,0,0,0,1,48.303340526,2.827154447
94,3,2,1,73000,0,1,0,0,0,0,0,0,1,48.872773777,3.332858845
94,3,2,1,48000,0,1,0,0,0,0,0,0,1,48.872773777,3.332858845
94,3,2,1,68000,0,1,0,0,0,0,0,0,1,48.872773777,3.332858845
78,4,2,2,209000,0,1,0,0,0,0,0,0,1,48.696591847,2.561137172
94,6,4,1,220000,0,1,0,0,0,0,0,0,1,48.872773777,3.332858845
250,11,2,1,495000,0,1,0,0,0,0,0,0,1,48.677735132,2.421499681
118,7,5,2,138000,0,1,0,0,0,0,0,0,1,49.003563215,2.739419053
100,4,3,1,295000,0,1,0,0,0,0,0,0,1,48.637231884,2.769101712
